# DL iota
1.529908097542125915e+02 6.492502873575329847e-01
2.113027796459722083e+02 4.639070247845397676e-01
1.722319865595103181e+02 5.711490053439818304e-01
1.437377374167096775e+02 7.766711917561948120e-01
1.354280450788383234e+02 7.640125373782153950e-01
1.643842037699154162e+02 4.443553125674926108e-01
1.234032378491041868e+02 2.040902873803772943e-01
1.200282485143011399e+02 1.194493919087363937e-01
1.760253287621466143e+02 5.843160198633077229e-01
1.530444144978377778e+02 3.368030532867684612e-01
2.227727513970221196e+02 4.647563931955717154e-01
1.880124852600581562e+02 7.725676759508006697e-01
8.508914780961025315e+01 9.720725915980947818e-01
1.414797976107440718e+02 7.031959602990003333e-01
1.551864352851629008e+02 4.173183481896662883e-01
1.531921267910824724e+02 3.474516473844855846e-01
1.847391177406891245e+02 2.039227096260028405e-01
1.289366978108459705e+02 5.086891685810480679e-01
8.184599648390710058e+01 9.314492367010425156e-01
1.407884173816029261e+02 4.991937351223764696e-01
1.265784691583805994e+02 2.076155854962631331e-01
1.754748528279687321e+02 6.927520119729448922e-01
2.014184758030921216e+02 4.889900691535751243e-01
2.128996205696112440e+02 1.021689820921833913e-01
1.962361364826835484e+02 5.170348746767932102e-01
1.710308232038568406e+02 2.507389700104886154e-01
1.660394152866538775e+02 6.120375075089165007e-01
1.382422436593861050e+02 4.757206786747080751e-01
1.584175797669010421e+02 2.431703853340518862e-01
1.324606303681585189e+02 2.902940772437059835e-01
1.161275878084524038e+02 1.771176291430456295e-01
1.249162271500257475e+02 3.859998397372945145e-01
1.641576385290766495e+02 2.653211738294745103e-01
1.490631288218410759e+02 8.310811603080987542e-01
1.324131548590169700e+02 8.834594398273236671e-01
1.524483726894103768e+02 3.464994712186588721e-01
1.648373990495663293e+02 2.147588377296800743e-01
1.757424494625867339e+02 3.060034549077941257e-01
1.690361183070191942e+02 3.810990995066026454e-01
1.621903719717129775e+02 4.149768649289802824e-01
1.431300202080897748e+02 3.342452319142492634e-01
5.493783513926062767e+01 9.018658665459744483e-01
1.749644058822290447e+02 4.773770388819222887e-01
1.873286222861699741e+02 5.087652663922909158e-01
1.604678080550370112e+02 5.729032532069174843e-01
1.618615423377428897e+02 2.362058424077343455e-01
2.232698131652115308e+02 4.552795108524377854e-01
2.020407571497580363e+02 3.793105289949298964e-01
1.608243402836553173e+02 6.236163193743851085e-01
1.409451023303346631e+02 3.484134318355893711e-01
1.271573360984294538e+02 5.193735564899192303e-01
1.399659837809715270e+02 6.237018933767606299e-01
1.688820116276219210e+02 4.760886657871278849e-01
1.548406682589654508e+02 1.428065972817247342e-01
1.657245587592918810e+02 4.407238084838369652e-01
1.366765100604866632e+02 2.349059636696058107e-01
9.840893461903282002e+01 3.343249161386042667e-01
1.352498811225545410e+02 6.717496557009616787e-01
2.007205372796715039e+02 3.863617656561201263e-01
1.225992501797700385e+02 6.387542916651942626e-01
1.247071152088786903e+02 3.991764578050850387e-01
2.115632535470796256e+02 2.623518057192355535e-01
9.793733063150499163e+01 3.307713153463649469e-01
8.713167470351169186e+01 8.915218727520008990e-01
1.854596342291883104e+02 2.175723633487587350e-01
1.646069807044390529e+02 6.511914804385170452e-01
1.269461193976376165e+02 1.198486973134909928e+00
1.208814700544584184e+02 9.581444359016347279e-02
1.962307413237352591e+02 5.947433336232018641e-01
9.690549249998660741e+01 9.671436097306411739e-01
1.309529554404188900e+02 4.931447897809935199e-01
1.870198826028496342e+02 1.561219158855320366e-01
1.328204449946953218e+02 7.171333069466370169e-01
1.956832129801225904e+02 1.214829238335868311e-01
1.814790119895052385e+02 1.381832085905131680e-01
1.622662623450573562e+02 4.390307439656870869e-01
1.910470586756617593e+02 6.580222963308607342e-01
1.864326381913640773e+02 5.400593421600734523e-01
1.289066882990188390e+02 6.942130243432685921e-01
2.000484797880380086e+02 5.077030901340586766e-01
1.460289618786467827e+02 3.294687558600608579e-01
1.276612126538179552e+02 8.658352270373924631e-01
1.448980618580510793e+02 1.839764557959231439e-01
1.921233558425698220e+02 5.482902405173072369e-01
1.524545619992425145e+02 3.620262883535234621e-01
1.965160063072191008e+02 6.759388411176076028e-01
1.797369569306511039e+02 2.872523316145279004e-01
2.066705355263941044e+02 1.324823956920537782e-01
1.245961084258623259e+02 7.136619744165810797e-01
1.637486007166659476e+02 4.305611085195775734e-01
1.854139065553590910e+02 3.152714769007110007e-01
1.574146250148774016e+02 5.667181373868155347e-01
1.163738203422370390e+02 8.633131498644648349e-01
1.511841067066834228e+02 7.459513401403419230e-01
1.883165570353731368e+02 6.009370797522303187e-01
1.206155097436907511e+02 6.026744221972485382e-01
1.224352894443838977e+02 5.476224484397649306e-01
1.201374198780839748e+02 4.630210732540307461e-02
1.754465216232532896e+02 5.712255479634133215e-02
1.892113587899061429e+02 3.257617459621711120e-01
1.578949746091259385e+02 6.375655877061960908e-01
1.198566501871531784e+02 7.614148640950684221e-01
1.362066840468258135e+02 5.610858062057904050e-01
1.700028617591268301e+02 6.989360566122079232e-01
1.729975545593004540e+02 7.145041688295745708e-01
1.255785712187544050e+02 8.562945473398442253e-01
1.361701731228794188e+02 6.753040199287836387e-01
1.381446202656057096e+02 7.321753190464189709e-01
1.458610231973023019e+02 3.315273471806925443e-01
1.086178637535021352e+02 1.101911410353981768e+00
8.667366047680320662e+01 8.178205609122599640e-01
1.419186262664186415e+02 3.001328813983207278e-01
9.774482699238294003e+01 4.458018338709531236e-01
1.161371487660924373e+02 3.266813560732820809e-01
2.262544600652474287e+02 2.192951627723312702e-01
1.951421358555747929e+02 1.380891622637934191e-01
1.516885455535225731e+02 5.425688573257185787e-01
1.305876539188026015e+02 1.077568043065211256e+00
1.200851707133059136e+02 8.535128215990808176e-01
1.555057110587846410e+02 7.168169977452429897e-01
1.237398726553344659e+02 6.792430225620992301e-01
1.712031472841720472e+02 4.426969470623126068e-01
